timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
0.001344,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
0.003386,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
0.004818,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.013395,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
0.014893,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.015816,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.023415,0C00290B,8,30 FF FF 7D FF FF FF 44,1,0
0.024817,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.033834,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.044866,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.049347,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.054875,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.064821,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.065817,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.073815,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.074877,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
0.084820,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.085806,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
0.094872,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.095835,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
0.097322,0C00000B,8,30 FF FF FA FF FF FF 41,1,0
0.097902,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
0.099332,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.101335,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
0.103378,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
0.104820,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.113377,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
0.114873,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.115817,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.124822,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.133818,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.144823,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.149330,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.154873,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.155823,18FEDF00,8,84 FF FF FF 7D FF FE 00,1,0
0.164818,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.165822,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.174876,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.175814,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
0.184820,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.185807,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
0.194877,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.195836,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
0.197320,0C00000B,8,30 FF FF FA FF FF FF 52,1,0
0.197901,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
0.199334,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
