timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
22.897316,18DA0BF9,8,03 22 F1 8C EE AE B2 4F,1,0
22.898152,18DAF90B,8,10 09 62 F1 8C 00 13 92,1,0
22.898812,18DA0BF9,8,30 20 00 F1 8C 00 13 92,1,0
22.899429,18DAF90B,8,21 06 38 21 FF FF FF FF,1,0
22.900124,18DA0BF9,8,03 22 F1 91 EE AE B2 4F,1,0
22.902110,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.903505,18DAF90B,8,10 0A 62 F1 91 31 39 38,1,0
22.904165,18DA0BF9,8,30 20 00 F1 91 31 39 38,1,0
22.904757,18DAF90B,8,21 30 37 30 30 FF FF FF,1,0
22.905334,0C00290B,8,30 FF FF 7D FF FF FF 33,1,0
22.905897,18DA0BF9,8,01 20 F0 02 20 F9 0B DA,1,0
22.907573,18DAF90B,8,03 7F 20 11 FF FF FF FF,1,0
22.908257,18DA0BF9,8,01 82 F0 02 20 F9 0B DA,1,0
22.908903,18DAF90B,8,03 7F 82 11 FF FF FF FF,1,0
22.912162,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.922108,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.923113,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
22.931258,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
22.932160,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.933103,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
22.942062,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.943046,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
22.952111,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.953074,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
22.962059,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.972111,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.973059,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
22.979192,0C00000B,8,30 FF FF FA FF FF FF 47,1,0
22.979771,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
22.981212,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
22.982066,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.983197,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
22.985218,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
22.992114,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
22.995212,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
23.002064,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.012112,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.022064,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.023061,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
23.031210,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
23.032118,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.033055,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
23.042111,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.043099,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
23.043708,18DA0BF9,8,02 10 03 E9 70 6E 88 F5,1,0
23.044364,18DAF90B,8,06 50 03 00 32 01 F4 FF,1,0
23.045022,18DA0BF9,8,03 22 F1 01 EE AE B2 4F,1,0
23.048946,18DAF90B,8,10 CB 62 F1 01 58 30 30,1,0
23.049598,18DA0BF9,8,30 20 00 F1 01 58 30 30,1,0
23.050189,18DAF90B,8,21 30 30 31 03 04 0F 17,1,0
23.050865,18DAF90B,8,22 18 4B 0D 31 38 39 34,1,0
23.051626,18DAF90B,8,23 30 36 36 83 25 42 FF,1,0
23.052198,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.052778,18DAF90B,8,24 FF FF FF FF FF FF FF,1,0
23.053380,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
23.053926,18DAF90B,8,25 FF 30 47 30 36 33 38,1,0
23.054610,18DAF90B,8,26 33 33 58 4C 52 54 45,1,0
23.055382,18DAF90B,8,27 48 34 33 30 30 47 30,1,0
23.056126,18DAF90B,8,28 36 33 38 33 33 31 39,1,0
23.056878,18DAF90B,8,29 38 30 37 30 31 31 39,1,0
23.057619,18DAF90B,8,2A 31 38 35 32 37 31 38,1,0
23.058395,18DAF90B,8,2B 39 34 34 38 31 31 38,1,0
23.059203,18DAF90B,8,2C 38 32 39 31 32 31 38,1,0
23.059860,18DAF90B,8,2D 38 32 39 34 34 31 39,1,0
23.060615,18DAF90B,8,2E 31 35 36 33 39 31 39,1,0
23.061364,18DAF90B,8,2F 31 38 35 36 36 31 39,1,0
23.062108,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.062652,18DAF90B,8,20 31 38 35 35 37 31 39,1,0
23.063232,18FEDF00,8,84 FF FF FF 7D FF FE 00,1,0
23.063769,18DAF90B,8,21 31 38 35 37 31 31 38,1,0
23.064614,18DAF90B,8,22 38 33 32 32 31 31 39,1,0
23.065368,18DAF90B,8,23 39 38 30 37 36 31 30,1,0
23.066115,18DAF90B,8,24 32 35 31 30 33 34 31,1,0
23.066863,18DAF90B,8,25 30 33 35 31 30 33 36,1,0
23.067611,18DAF90B,8,26 31 30 33 37 31 30 37,1,0
23.068392,18DAF90B,8,27 37 31 30 37 38 31 32,1,0
23.069200,18DAF90B,8,28 37 36 31 32 37 37 31,1,0
23.069859,18DAF90B,8,29 33 37 36 31 33 37 37,1,0
23.070616,18DAF90B,8,2A 31 38 39 34 35 35 31,1,0
23.071404,18DAF90B,8,2B FF FF FF FF FF FF FF,1,0
23.072164,18DAF90B,8,2C FF FF FF FF FF FF FF,1,0
23.072736,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
