timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
0.007435,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.008357,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.017083,0C00000B,8,30 FF FF FA FF FF FF 41,1,0
0.017657,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.018233,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
0.019089,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.021077,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
0.023094,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
0.027412,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.033101,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
0.037360,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.047413,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.057359,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.058362,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.066351,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.067411,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
0.069100,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.077360,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.078351,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
0.087411,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.088371,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
0.097360,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.107412,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.108356,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
0.117076,0C00000B,8,30 FF FF FA FF FF FF 52,1,0
0.117648,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
0.118228,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
0.119088,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
0.121077,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
0.123097,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
0.127412,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
